episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,752,33.72,94,412,40.2,1,0,1,0.097,0.0,0.0,0.0
2,1448,114.47,181,379,37.0,1,0,1,0.128,0.0,0.0,0.0
3,1960,32.52,245,421,41.1,1,0,1,0.128,0.0,0.0,0.0
4,2016,-32.67,252,282,27.5,1,0,1,0.137,0.0,0.0,0.0
5,2552,13.59,74,209,20.4,1,0,1,0.08,0.0,0.0,0.0
6,3000,114.76,375,447,43.7,1,0,1,0.112,0.0,0.0,0.0
7,3600,7.55,198,200,19.5,1,0,1,0.185,0.0,0.0,0.0
8,4096,-10.0,331,280,27.3,1,0,1,0.155,0.0,0.0,0.0
9,4456,-9.13,107,357,34.9,1,0,1,0.141,0.0,0.0,0.0
10,4648,65.05,581,447,43.7,1,0,1,0.108,0.0,0.0,0.0
11,4664,-29.26,583,450,43.9,1,0,1,0.18,0.0,0.0,0.0
12,4800,199.76,600,528,51.6,2,0,0,1.702,0.0,0.0,0.0
13,5104,112.15,319,521,50.9,1,0,1,0.173,0.0,0.0,0.0
14,5496,22.9,175,390,38.1,1,0,1,0.182,0.0,0.0,0.0
15,5552,80.53,600,452,44.1,1,0,0,1.808,0.0,0.0,0.0
16,6224,-21.78,197,408,39.8,1,0,1,0.188,0.0,0.0,0.0
17,6248,-28.63,94,335,32.7,1,0,1,0.197,0.0,0.0,0.0
18,6280,16.13,410,449,43.8,1,0,1,0.174,0.0,0.0,0.0
19,6416,1.33,108,213,20.8,1,0,1,0.154,0.0,0.0,0.0
20,6432,-4.84,247,446,43.6,1,0,1,0.207,0.0,0.0,0.0
21,7080,30.09,285,433,42.3,1,0,1,0.148,0.0,0.0,0.0
22,7432,78.64,148,482,47.1,1,0,1,0.128,0.0,0.0,0.0
23,7656,66.55,153,487,47.6,1,0,1,0.098,0.0,0.0,0.0
24,8760,-17.41,166,195,19.0,1,0,1,0.123,0.0,0.0,0.0
25,9464,46.9,600,485,47.4,1,0,0,1.571,0.0,0.0,0.0
26,9904,327.54,600,509,49.7,2,0,0,1.407,0.0,0.0,0.0
27,10096,15.43,477,438,42.8,1,0,1,0.11,0.0,0.0,0.0
28,10344,97.22,408,481,47.0,1,0,1,0.146,0.0,-3.2401,7.2052
29,10432,9.43,209,407,39.7,1,0,1,0.133,0.0,0.0,0.0
30,10960,-6.84,66,198,19.3,1,0,1,0.187,0.0,-5.9407,5.3219
31,11024,57.35,600,462,45.1,1,0,0,1.427,0.0,-6.9104,5.2963
32,11216,98.1,600,344,33.6,1,0,0,1.199,0.0,-6.9104,5.2963
33,11296,36.25,150,441,43.1,1,0,1,0.146,0.0,-7.8971,5.3497
34,11416,-12.1,134,428,41.8,1,0,1,0.159,0.0,-7.8971,5.3497
35,12200,34.54,287,452,44.1,1,0,1,0.15,0.0,-10.8907,6.4763
36,12280,-7.59,133,415,40.5,1,0,1,0.204,0.0,-10.8907,6.4763
37,12456,50.17,600,481,47.0,1,0,0,1.054,0.0,-11.8999,6.2393
38,12544,14.16,190,424,41.4,1,0,1,0.135,0.0,-11.8999,6.2393
39,12648,-1.15,154,434,42.4,1,0,1,0.154,0.0,-12.8806,5.9353
40,13952,133.16,209,530,51.8,1,0,1,0.138,0.0,-18.0106,6.6684
41,14264,63.84,600,497,48.5,1,0,1,0.104,0.0,-19.0323,5.6826
42,14504,-7.47,30,204,19.9,1,0,1,0.119,0.0,-20.0739,5.9223
43,15760,273.1,600,669,65.3,1,0,0,1.285,0.0,-25.4744,6.9952
44,16096,317.5,600,671,65.5,2,0,0,1.579,0.0,-26.5323,5.9294
45,17000,425.19,600,756,73.8,2,0,0,1.856,0.0,-30.5237,5.868
46,17256,522.72,600,739,72.2,2,0,0,1.99,0.0,-31.5219,5.9982
47,17344,471.34,600,753,73.5,2,0,0,1.143,0.0,-31.5219,5.9982
48,17448,278.3,600,473,46.2,1,0,0,1.851,0.0,-32.5443,5.6809
49,17560,1.6,27,207,20.2,1,0,1,0.157,0.0,0.0,0.0
50,17656,-11.9,12,411,40.1,1,0,1,0.084,0.0,0.0,0.0
51,18568,199.35,114,545,53.2,2,0,1,0.122,0.0,-36.082,5.1266
52,18752,340.9,600,735,71.8,2,0,0,1.918,0.0,-36.987,6.0454
53,19304,564.1,600,824,80.5,3,0,0,2.07,0.0,-38.7087,5.5356
54,20560,528.1,600,863,84.3,4,0,0,1.329,0.0,-43.0177,5.3397
55,20896,156.03,600,658,64.3,1,0,0,1.717,0.0,-43.9952,5.0281
56,21800,401.95,600,805,78.6,2,0,0,1.61,0.0,-46.9705,5.3859
57,22056,370.58,600,771,75.3,2,0,0,1.611,0.0,-47.6463,5.717
58,22248,515.7,600,836,81.6,3,0,0,1.906,0.0,-47.6463,5.717
59,23368,169.69,600,677,66.1,1,0,0,0.823,0.0,-51.0172,6.9184
60,23520,324.97,183,735,71.8,2,0,1,0.184,0.0,-51.0172,6.9184
61,23552,476.88,600,879,85.8,4,0,0,2.176,0.0,0.0,0.0
62,24104,423.49,600,774,75.6,2,0,0,1.455,0.0,-52.8108,7.1337
63,25360,480.9,600,863,84.3,3,0,0,1.515,0.0,-55.4793,6.7063
64,25696,491.78,600,811,79.2,3,0,0,1.004,0.0,-55.8787,6.3637
65,26600,225.82,600,714,69.7,2,0,0,1.312,0.0,-57.0724,6.8177
66,27048,422.45,600,882,86.1,4,0,0,1.79,0.0,-57.712,6.436
67,28168,168.89,600,525,51.3,2,0,0,0.622,0.0,-59.2885,6.2328
68,28320,436.49,600,879,85.8,4,0,0,1.451,0.0,-59.2885,6.2328
69,28344,-0.68,22,233,22.8,1,0,1,0.188,0.0,0.0,0.0
70,28352,133.3,600,658,64.3,2,0,0,1.873,0.0,0.0,0.0
71,28504,-2.98,19,192,18.8,1,0,1,0.163,0.0,-59.577,7.0247
72,28904,426.35,600,837,81.7,3,0,0,1.626,0.0,-60.005,5.974
73,30160,475.41,600,900,87.9,4,0,0,2.048,0.0,-61.2448,6.69
74,30496,249.3,600,735,71.8,2,0,0,1.733,0.0,-61.3989,7.189
75,30672,11.63,22,227,22.2,1,0,1,0.198,0.0,-61.3989,7.189
76,31400,355.48,600,799,78.0,3,0,0,1.804,0.0,-62.0218,7.0131
77,31848,171.86,600,684,66.8,2,0,0,1.752,0.0,-62.3371,6.6381
78,32040,-4.21,24,180,17.6,1,0,1,0.133,0.0,-62.2587,7.5057
79,33120,211.7,600,682,66.6,2,0,0,1.671,0.0,-62.6962,6.9332
80,33144,352.5,600,852,83.2,4,0,0,1.92,0.0,-62.6962,6.9332
81,33304,187.95,600,669,65.3,2,0,0,1.644,0.0,-62.6751,6.9875
82,33704,369.8,600,817,79.8,3,0,0,1.851,0.0,-62.9116,7.5157
83,34960,220.74,600,747,72.9,2,0,0,2.016,0.0,-62.9959,6.4457
84,35472,414.08,600,839,81.9,3,0,0,1.922,0.0,-63.2459,6.6989
85,36200,157.3,600,687,67.1,1,0,0,1.347,0.0,-62.7857,7.6876
86,36840,330.0,600,835,81.5,3,0,0,1.434,0.0,-62.947,7.0923
87,37920,404.94,600,854,83.4,4,0,0,1.564,0.0,-62.3999,7.0554
88,37944,291.9,600,845,82.5,3,0,0,1.861,0.0,-62.3999,7.0554
89,38104,257.89,600,789,77.1,3,0,0,1.482,0.0,0.0,0.0
90,38168,-1.76,31,212,20.7,1,0,1,0.122,0.0,-62.4116,6.7982
91,38504,221.0,600,698,68.2,2,0,0,1.867,0.0,-62.2083,7.9718
92,39760,282.5,600,797,77.8,3,0,0,1.817,0.0,-62.0083,6.9387
93,40272,382.64,600,849,82.9,4,0,0,2.156,0.0,-61.6024,7.438
94,41000,321.59,600,846,82.6,3,0,0,1.658,0.0,-61.2948,6.3963
95,41640,221.29,600,769,75.1,3,0,0,1.246,0.0,-61.2572,7.0414
96,42744,304.27,600,830,81.1,3,0,0,2.148,0.0,-60.6792,6.6889
97,42904,260.44,600,714,69.7,3,0,0,1.664,0.0,-60.5904,6.8247
98,42968,291.56,600,831,81.2,3,0,0,1.984,0.0,-60.5904,6.8247
99,43304,222.23,600,749,73.1,2,0,0,2.103,0.0,-60.2516,6.8828
100,44560,305.11,600,833,81.3,3,0,0,1.823,0.0,-59.4239,6.8503
101,45072,261.0,600,809,79.0,3,0,0,1.496,0.0,-59.1434,7.2774
102,45256,-6.64,23,172,16.8,1,0,1,0.124,0.0,-59.1434,7.2774
103,45360,237.16,100,521,50.9,3,0,1,0.161,0.0,-59.2131,7.0897
104,45800,264.9,600,817,79.8,3,0,0,1.446,0.0,-59.2103,8.4
105,46440,325.48,600,857,83.7,4,0,0,1.902,0.0,-58.6739,7.0883
106,47544,231.14,600,782,76.4,3,0,0,2.101,0.0,-58.4251,7.0657
107,47688,-11.99,18,206,20.1,1,0,1,0.206,0.0,-58.7737,6.709
108,47704,199.18,600,725,70.8,2,0,0,1.63,0.0,-58.7737,6.709
109,47768,294.39,600,791,77.2,3,0,0,1.864,0.0,0.0,0.0
110,47816,156.51,252,594,58.0,2,0,1,0.173,0.0,0.0,0.0
111,47912,-5.09,28,186,18.2,1,0,1,0.178,0.0,-58.7417,7.608
112,48024,90.99,198,524,51.2,1,0,1,0.178,0.0,-58.7417,7.608
113,48104,238.29,600,797,77.8,3,0,0,1.703,0.0,0.0,0.0
114,48568,183.71,401,576,56.2,2,0,1,0.209,0.0,-57.9332,7.0855
115,49176,152.22,170,555,54.2,2,0,1,0.184,0.0,-57.7234,7.4159
116,50056,207.06,600,800,78.1,3,0,0,1.937,0.0,-57.6787,8.0605
