episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,144,-22.55,18,329,32.1,1,0,1,0.188,0.05,0.0,0.0
2,720,-11.1,90,192,18.8,1,0,1,0.177,0.05,0.0,0.0
3,800,50.58,100,504,49.2,1,0,1,0.179,0.05,0.0,0.0
4,1200,-15.89,150,283,27.6,1,0,1,0.166,0.05,0.0,0.0
5,2072,6.51,259,444,43.4,1,0,1,0.197,0.05,0.0,0.0
6,2504,135.02,313,547,53.4,2,0,1,0.169,0.05,0.0,0.0
7,2832,86.64,264,439,42.9,1,0,1,0.195,0.05,0.0,0.0
8,3008,48.5,376,404,39.5,1,0,1,0.162,0.05,0.0,0.0
9,3720,151.86,206,575,56.2,1,0,1,0.172,0.05,0.0,0.0
10,4680,7.5,209,373,36.4,1,0,1,0.154,0.05,0.0,0.0
11,4800,109.25,600,507,49.5,1,0,0,1.396,0.05,0.0,0.0
12,4944,170.7,600,380,37.1,1,0,0,2.472,0.05,0.0,0.0
13,5200,3.82,32,440,43.0,1,0,1,0.175,0.05,0.0,0.0
14,5384,11.57,319,397,38.8,1,0,1,0.205,0.05,0.0,0.0
15,5600,76.95,600,480,46.9,1,0,0,1.394,0.05,0.0,0.0
16,6000,81.0,600,527,51.5,1,0,0,1.399,0.05,0.0,0.0
17,6672,44.76,369,426,41.6,1,0,1,0.062,0.05,0.0,0.0
18,7280,3.49,76,194,18.9,1,0,1,0.164,0.05,0.0,0.0
19,7304,3.17,600,456,44.5,1,0,0,1.542,0.05,0.0,0.0
20,7504,5.27,188,397,38.8,1,0,1,0.173,0.05,0.0,0.0
21,7560,-16.83,32,178,17.4,1,0,1,0.209,0.05,0.0,0.0
22,7720,42.19,365,417,40.7,1,0,1,0.214,0.05,0.0,0.0
23,8304,13.67,73,225,22.0,1,0,1,0.146,0.05,0.0,0.0
24,8360,73.06,345,511,49.9,1,0,1,0.187,0.05,0.0,0.0
25,8640,-3.73,430,444,43.4,1,0,1,0.157,0.05,0.0,0.0
26,8704,25.41,415,428,41.8,1,0,1,0.129,0.05,0.0,0.0
