episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,144,-22.55,18,329,32.1,1,0,1,0.188,0.0,0.0,0.0
2,720,-11.1,90,192,18.8,1,0,1,0.177,0.0,0.0,0.0
3,800,50.58,100,504,49.2,1,0,1,0.179,0.0,0.0,0.0
4,1200,-15.89,150,283,27.6,1,0,1,0.166,0.0,0.0,0.0
5,2072,6.51,259,444,43.4,1,0,1,0.197,0.0,0.0,0.0
6,2504,135.02,313,547,53.4,2,0,1,0.169,0.0,0.0,0.0
7,2832,86.64,264,439,42.9,1,0,1,0.195,0.0,0.0,0.0
8,3008,48.5,376,404,39.5,1,0,1,0.162,0.0,0.0,0.0
9,3720,151.86,206,575,56.2,1,0,1,0.172,0.0,0.0,0.0
10,4680,7.5,209,373,36.4,1,0,1,0.154,0.0,0.0,0.0
11,4800,109.25,600,507,49.5,1,0,0,1.396,0.0,0.0,0.0
12,4944,170.7,600,380,37.1,1,0,0,2.472,0.0,0.0,0.0
13,5200,3.82,32,440,43.0,1,0,1,0.175,0.0,0.0,0.0
14,5384,11.57,319,397,38.8,1,0,1,0.205,0.0,0.0,0.0
15,5600,76.95,600,480,46.9,1,0,0,1.394,0.0,0.0,0.0
16,6000,81.0,600,527,51.5,1,0,0,1.399,0.0,0.0,0.0
17,6672,44.76,369,426,41.6,1,0,1,0.062,0.0,0.0,0.0
18,7280,3.49,76,194,18.9,1,0,1,0.164,0.0,0.0,0.0
19,7304,3.17,600,456,44.5,1,0,0,1.542,0.0,0.0,0.0
20,7504,5.27,188,397,38.8,1,0,1,0.173,0.0,0.0,0.0
21,7560,-16.83,32,178,17.4,1,0,1,0.209,0.0,0.0,0.0
22,7720,42.19,365,417,40.7,1,0,1,0.214,0.0,0.0,0.0
23,8304,13.67,73,225,22.0,1,0,1,0.146,0.0,0.0,0.0
24,8360,73.06,345,511,49.9,1,0,1,0.187,0.0,0.0,0.0
25,8640,-3.73,430,444,43.4,1,0,1,0.157,0.0,0.0,0.0
26,8704,25.41,415,428,41.8,1,0,1,0.129,0.0,0.0,0.0
27,8704,-8.86,150,196,19.1,1,0,1,0.139,0.0,0.0,0.0
28,8872,21.42,64,455,44.4,1,0,1,0.199,0.0,0.0,0.0
29,9040,109.18,92,505,49.3,1,0,1,0.219,0.0,0.0,0.0
30,9408,1.94,46,341,33.3,1,0,1,0.188,0.0,0.0,0.0
31,9480,32.4,600,417,40.7,1,0,0,1.364,0.0,0.0,0.0
32,10152,16.09,181,304,29.7,1,0,1,0.208,0.0,0.0,0.0
33,10200,177.51,330,571,55.8,1,0,1,0.167,0.0,0.0,0.0
34,10320,35.1,210,447,43.7,1,0,1,0.127,0.0,-3.262,8.1611
35,10424,16.95,393,407,39.7,1,0,1,0.155,0.0,-3.262,8.1611
36,10736,8.53,157,440,43.0,1,0,1,0.05,0.0,-4.9762,5.7948
37,10976,-14.15,82,193,18.8,1,0,1,0.096,0.0,-5.9247,5.1884
38,11120,64.26,302,478,46.7,1,0,1,0.123,0.0,-6.9163,5.6906
39,11352,-36.69,243,266,26.0,1,0,1,0.177,0.0,-7.8877,7.8377
40,12152,-25.57,129,270,26.4,1,0,1,0.173,0.0,-11.008,5.4073
41,12232,137.86,157,547,53.4,1,0,1,0.156,0.0,0.0,0.0
42,12448,-4.23,281,309,30.2,1,0,1,0.15,0.0,-12.027,7.6437
43,12552,8.93,266,486,47.5,1,0,1,0.188,0.0,-13.0014,8.1555
44,12600,174.66,233,496,48.4,1,0,1,0.182,0.0,-13.0014,8.1555
45,13672,18.9,600,322,31.4,1,0,0,2.591,0.0,-17.0621,8.0688
46,13776,83.42,147,502,49.0,1,0,1,0.116,0.0,-17.0621,8.0688
47,14800,194.84,581,560,54.7,2,0,1,0.173,0.0,-21.2094,8.0235
48,16152,411.96,600,773,75.5,2,0,0,2.159,0.0,-27.627,6.9636
49,16952,491.65,600,795,77.6,3,0,0,1.428,0.0,-30.7817,6.5321
50,17032,249.1,600,646,63.1,1,0,0,1.854,0.0,-30.7817,6.5321
51,17248,401.6,600,709,69.2,2,0,0,0.749,0.0,-31.8609,6.2892
52,17352,393.07,600,719,70.2,2,0,0,1.75,0.0,-31.8609,6.2892
53,17592,-10.52,30,202,19.7,1,0,1,0.185,0.0,-32.808,5.6699
54,18472,293.28,600,674,65.8,1,0,0,1.761,0.0,-36.4081,6.8251
55,18576,298.88,600,545,53.2,2,0,0,0.711,0.0,-36.4081,6.8251
56,19600,278.26,600,670,65.4,1,0,0,1.607,0.0,-40.0214,6.1758
57,19832,-7.48,29,195,19.0,1,0,1,0.18,0.0,-40.873,6.8987
58,20952,538.0,600,844,82.4,3,0,0,2.339,0.0,-44.3967,6.6175
59,21536,-9.66,73,216,21.1,1,0,1,0.12,0.0,-46.5628,7.152
60,21752,506.38,600,797,77.8,3,0,0,1.476,0.0,-46.5628,7.152
61,21832,485.09,600,788,77.0,3,0,0,1.174,0.0,-47.3702,7.4408
62,22048,485.2,600,866,84.6,4,0,0,1.614,0.0,-48.0746,7.0905
63,22392,410.47,600,810,79.1,3,0,0,1.645,0.0,-48.8802,7.1517
64,23264,-0.42,109,221,21.6,1,0,1,0.161,0.0,-50.7212,7.1088
65,23272,467.51,600,881,86.0,4,0,0,1.971,0.0,0.0,0.0
66,23376,617.86,600,891,87.0,5,0,0,1.132,0.0,-51.3783,7.8767
67,23632,18.71,32,216,21.1,1,0,1,0.156,0.0,-52.0153,8.301
68,24632,226.27,600,714,69.7,2,0,0,1.476,0.0,-54.3086,8.3085
69,26336,430.99,600,826,80.7,3,0,0,2.021,0.0,-57.3262,7.2595
70,26552,257.15,600,714,69.7,2,0,0,2.181,0.0,-57.6667,8.0309
71,26632,401.17,600,877,85.6,4,0,0,1.632,0.0,-58.0657,7.8733
72,26848,274.9,600,770,75.2,3,0,0,1.937,0.0,-58.0657,7.8733
73,27552,171.07,115,521,50.9,2,0,1,0.228,0.0,-59.1695,7.5954
74,28064,437.05,600,853,83.3,3,0,0,1.97,0.0,-59.7552,8.9764
75,28072,166.4,600,751,73.3,2,0,0,1.017,0.0,-59.7552,8.9764
76,28432,310.79,600,856,83.6,3,0,0,1.552,0.0,-60.4225,7.6382
77,29432,197.37,600,760,74.2,2,0,0,2.735,0.0,-60.9929,8.3373
78,29784,47.26,44,248,24.2,1,0,1,0.156,0.0,-61.6247,8.9694
79,29984,-10.02,25,201,19.6,1,0,1,0.131,0.0,-61.7962,8.3863
80,31136,163.72,600,732,71.5,2,0,0,1.193,0.0,-62.2553,7.8037
81,31352,282.31,600,807,78.8,3,0,0,2.162,0.0,-62.3423,8.0648
82,31648,303.45,600,838,81.8,3,0,0,2.487,0.0,-62.4674,7.3265
83,32352,196.97,600,358,35.0,2,0,0,1.416,0.0,-62.7908,9.1606
84,32864,365.19,600,880,85.9,4,0,0,1.558,0.0,-62.8932,8.2942
85,32872,298.58,600,888,86.7,4,0,0,1.369,0.0,0.0,0.0
86,33232,286.33,600,816,79.7,3,0,0,1.687,0.0,-63.1406,8.931
87,33448,132.35,73,502,49.0,2,0,1,0.179,0.0,-62.9666,7.9754
88,34784,154.4,600,670,65.4,1,0,0,2.08,0.0,-63.466,7.7242
89,35216,78.04,54,463,45.2,1,0,1,0.202,0.0,-63.4174,9.4821
90,35936,335.62,600,832,81.2,3,0,0,2.786,0.0,-63.1505,8.4183
91,36152,215.4,600,802,78.3,3,0,0,1.922,0.0,-63.1252,10.0671
92,36448,193.8,600,740,72.3,2,0,0,2.228,0.0,-62.9926,8.9314
93,37152,161.61,600,683,66.7,2,0,0,2.011,0.0,-63.02,8.1336
94,37672,190.5,600,360,35.2,2,0,0,1.765,0.0,-62.7051,9.0162
95,38032,301.35,600,820,80.1,3,0,0,2.062,0.0,-62.9537,8.8695
96,38248,276.83,600,808,78.9,3,0,0,1.908,0.0,-62.6477,8.2635
97,38936,-14.83,113,213,20.8,1,0,1,0.131,0.0,-62.2874,7.6088
98,40016,331.52,600,836,81.6,3,0,0,2.276,0.0,-61.7117,9.0047
99,40736,331.85,600,872,85.2,4,0,0,1.43,0.0,-61.1948,8.1209
100,40952,482.14,600,880,85.9,4,0,0,1.815,0.0,-61.1948,8.1209
101,41248,201.97,600,780,76.2,3,0,0,1.957,0.0,-60.6421,9.1954
102,41576,40.5,488,504,49.2,2,0,1,0.174,0.0,-60.668,8.9121
103,41952,322.01,600,819,80.0,3,0,0,1.833,0.0,-60.312,8.5777
104,43048,62.77,600,535,52.2,3,0,0,1.316,0.0,-59.8973,8.3444
105,43736,327.03,600,864,84.4,4,0,0,1.979,0.0,-59.3581,8.7665
106,43944,2.03,26,223,21.8,1,0,1,0.178,0.0,-59.5008,8.8634
107,44816,393.78,600,839,81.9,3,0,0,1.743,0.0,-58.98,7.9927
108,45536,132.82,600,324,31.6,1,0,0,1.386,0.0,-58.9575,8.0093
109,45752,159.99,600,553,54.0,3,0,0,1.79,0.0,-58.6775,7.6718
110,46048,312.14,600,827,80.8,3,0,0,2.062,0.0,-58.8726,8.2799
111,46272,121.08,65,506,49.4,2,0,1,0.135,0.0,-58.4461,7.9141
112,46376,366.5,600,844,82.4,3,0,0,1.581,0.0,-58.5539,8.3089
113,46752,212.19,600,775,75.7,2,0,0,1.546,0.0,-58.1879,8.1679
114,46920,8.72,21,198,19.3,1,0,1,0.06,0.0,-58.4055,8.2602
115,47848,268.4,600,701,68.5,3,0,0,1.382,0.0,-58.289,8.4324
116,48744,92.0,600,525,51.3,2,0,0,1.817,0.0,-57.6553,8.0388
117,49616,339.1,600,847,82.7,4,0,0,1.67,0.0,-57.5976,8.6453
